Split,Name,Season,Region,Games,Win Rate,K:D,GPM,GDM,Game Duration,Kills/Game,Deaths/Game,Towers Killed,Towers Lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA-15MIN,TG-15MIN,GD-15MIN,NASHPG,NASH%,CSM,DPM,WPW,VWPM,WCPM
Spring,FlyQuest,S8,NA,18,33.30%,0.72,1731,-139,39:36:00,8.7,12.1,5.1,7.9,38.9,27.8,1.67,37.6,0.33,40,0.39,-0.6,-1155,0.94,37.5,34.8,1912,4.2,0.98,1.62
Spring,FlyQuest Academy,S8,NA,26,69.20%,1.14,1870,91,37:01:00,13.8,12.1,7.9,5.4,61.5,53.8,2.31,54.8,0.65,73.9,0.85,0,66,1.23,59.6,34.6,2130,4,1.09,1.6
Spring,Fnatic,S8,EUW,39,64.10%,1.12,1886,121,37:50:00,12.1,10.7,8.1,5.7,61.5,53.8,1.9,52.8,0.49,55.9,0.44,0.1,664,0.9,57.1,36.1,2010,4.1,1.15,1.51
Spring,FTV Esports,S8,VN,33,42.40%,0.95,1843,-72,29:19:00,12.5,13.1,4.9,6.5,54.5,36.4,1.27,54.9,0.24,34.8,0.34,-0.2,-83,0.48,36.7,34.9,2015,4,0.74,1.49
Spring,Funplus Phoenix,S8,CN,45,46.70%,0.91,1818,-41,34:44:00,12,13.2,6.2,6.2,51.1,48.9,2.02,59.1,-,-,-,-,-,0.76,51.5,34.3,1886,4.6,1.27,1.61
Spring,Furious Gaming,S8,LAS,30,50.00%,1.2,1804,46,36:32:00,11.6,9.6,6.6,6.4,56.7,50,1.63,44.5,0.43,44.8,0.3,-0.1,509,0.9,48.9,34.8,1949,4.6,1.31,1.61
Spring,G-Rex,S8,TW,38,71.10%,1.29,1863,130,36:19:00,11.9,9.2,7.4,4.8,39.5,52.6,1.82,53.7,0.39,48.4,0.41,0.1,116,0.95,60.4,36.1,1900,4.7,1.43,1.82
Spring,G2 Esports,S8,EUW,26,57.70%,1.24,1850,97,40:14:00,11.2,9,7.7,6.3,46.2,53.8,2.15,53.1,0.58,68.2,0.5,0.2,755,1.12,55.1,36.3,2082,4.6,1.28,1.9
Spring,G2 Vodafone,S8,ES,32,50.00%,1.08,1762,-45,35:24:00,11.3,10.4,6.1,7,15.6,18.8,1.63,41.5,0.13,23.5,0.56,-0.7,-1724,0.59,53.2,33.7,1851,4.2,1.09,1.52
Spring,Galakticos,S8,TR,28,10.70%,0.48,1604,-406,30:42:00,7.3,15.1,2.6,9.3,25,25,0.89,21.4,0.18,20,0.25,-1.4,-2602,0.39,19.6,31.8,1600,3.6,0.94,1.18
Spring,Gambit Esports,S8,CIS,31,77.40%,1.42,1876,206,34:49:00,13.7,9.6,7.9,3.9,64.5,54.8,2.32,65.8,0.45,53.8,0.52,0.4,848,1.1,74.2,33.9,2225,4,1.13,1.59
Spring,Gamers Origin,S8,EUW,7,71.40%,1.72,1975,345,25:46:00,13,7.6,7.9,2.9,71.4,85.7,1.43,65.5,0.86,85.7,0.71,1.4,3200,0.71,71.4,34.8,2027,3,1.15,1.21
Spring,Gaming Gaming,S8,LAN,20,40.00%,0.86,1771,-29,35:48:00,12.3,14.3,6.1,6.7,55,65,1.9,55.9,0.6,63.2,0.5,0.6,417,0.55,39.2,33.4,1982,3.9,1.01,1.43
Spring,Giants,S8,EUW,18,38.90%,0.82,1764,-86,35:27:00,9.6,11.6,5.9,6.6,27.8,38.9,1.39,42.1,0.44,57.1,0.39,-0.1,-429,0.72,45.4,34.9,1770,3.9,1.03,1.65
Spring,GIGABYTE Marines,S8,VN,46,58.70%,1.14,1900,97,32:40:00,15.1,13.3,6.7,5.2,47.8,47.8,1.91,62.1,0.59,69.2,0.5,0.1,169,0.74,55.9,35.7,2113,4.4,1.02,1.6
