Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
62,Irelia,Top,45.34%,2.58%,0.77%,5.91,6.55,6.81,4.8,8,18217,27721,6821,200.8,2.76,3.49,12296,29,0
63,Ivern,Jungle,49.89%,1.09%,0.04%,6.53,2.35,4.33,12.08,4,7744,12880,5948,15.4,8.56,81.31,8828,42,4
64,Janna,Support,51.47%,3.65%,0.04%,8.11,1.64,4.9,13.01,4,7527,12548,6751,19.3,0.08,0.08,7375,27,4
65,Jarvan IV,Jungle,49.23%,2.76%,0.05%,5.51,4.78,5.28,11.62,7,10972,26225,8207,29.8,7.13,73.1,10154,31,0
66,Jax,Jungle,50.60%,1.44%,0.93%,7.18,6.35,5.73,5.58,7,14800,26780,8964,67.8,8.14,64.31,11232,27,0
67,Jax,Top,49.74%,2.97%,0.93%,6.05,6.06,6.2,4.44,7,17808,25330,4779,170.2,3.78,4.97,11753,17,3
68,Jayce,Middle,47.06%,0.38%,0.13%,9.53,7.35,6.11,6.82,6,22270,19622,2733,179,2.91,7.45,12105,33,2
69,Jayce,Support,50.47%,0.38%,0.13%,28.63,3.05,3.24,2.24,5,8800,8436,627,108.7,0.97,1.1,6556,61,6
70,Jayce,Top,47.83%,1.49%,0.13%,7.29,5.82,6.11,6.27,7,20871,19814,2118,182.5,2.57,5.23,11737,35,1
71,Jhin,ADC,51.66%,6.43%,0.18%,9.36,7.13,5.38,8.7,8,20249,17883,3747,178.3,1.79,6.56,12176,2,0
72,Jinx,ADC,51.15%,3.74%,0.03%,6.07,6.81,5.85,7.72,7,19692,18140,2403,184.2,2.67,10.51,12328,12,4
73,Kai'Sa,ADC,48.24%,9.12%,0.19%,NaN,7.34,5.68,6.79,10,19513,18675,3836,185.3,2.33,9.35,12266,8,5
74,Kalista,ADC,48.78%,2.17%,0.20%,4.86,7.39,6.12,7.13,8,18447,20075,4350,183.2,3.1,10.57,12324,19,3
75,Kalista,Support,51.61%,0.42%,0.20%,11.74,3.96,3.3,2.87,5,7164,8570,1427,110.2,1.06,1.4,6864,53,2
76,Karma,Support,49.60%,6.54%,0.30%,6.98,2.03,5.01,11.51,5,9829,12793,2880,27.7,0.2,0.25,7441,24,0
77,Karthus,Jungle,51.25%,2.92%,1.18%,17.74,7.49,6.03,8.03,9,23437,25557,10454,44.5,9.78,98.55,11686,6,7
78,Karthus,Middle,49.26%,0.56%,1.18%,4.71,7.35,6.83,8.61,9,28476,22773,5624,182.4,2.76,12.49,12301,3,0
79,Kassadin,Middle,50.43%,3.02%,3.17%,5.19,7.94,5.43,5.26,8,20254,25256,7619,169.8,2.72,8.08,11712,2,1
80,Kassadin,Support,52.16%,0.50%,3.17%,22.2,3.36,3.1,2.14,5,7298,11035,2477,103.7,0.73,1.47,6336,11,0
81,Katarina,Middle,49.42%,2.81%,0.90%,7.14,9.36,6.72,6.2,9,20808,24533,7080,153.8,1.18,2.55,11871,9,1
82,Katarina,Support,58.57%,0.53%,0.90%,37.01,5.54,3.6,2.68,5,9302,11291,2417,98.8,0.43,0.53,7138,7,3
83,Kayle,Support,48.96%,0.30%,0.05%,12.47,2.18,3.59,4.69,4,6779,11484,6139,85.5,0.75,1.13,6601,64,1
84,Kayle,Top,49.97%,1.41%,0.05%,6.23,5.36,5.71,5.99,6,18874,21003,8283,190.2,3.43,8.23,11995,24,1
85,Kayn,Jungle,51.05%,7.80%,1.51%,4.8,7.21,5.93,6.98,10,16466,30720,14152,35.3,11.06,83.73,11110,5,1
