Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
54,Kalista,ADC,47.46%,1.72%,0.10%,2.65,7.71,6.5,6.89,9,19535,21214,4349,176.2,2.82,8.74,12349,19,2
55,Karma,Support,50.33%,3.06%,0.03%,3.77,2.2,5.43,11.85,5,10840,13811,2842,26.3,0.27,0.35,7795,23,2
56,Karthus,Jungle,41.28%,0.80%,0.06%,5.56,6.63,6.63,7.7,6,22540,25635,9711,40.8,7.68,98.03,11336,35,14
57,Kassadin,Middle,50.03%,2.93%,2.28%,2.89,7.97,5.53,5.39,7,20408,26051,7889,161.4,2.4,6.94,11556,10,0
58,Katarina,Middle,47.92%,3.18%,1.02%,4.13,9.46,6.93,6.36,8,21297,25505,7306,148.2,1.11,2.65,11904,15,3
59,Kayle,Top,48.49%,1.40%,0.05%,3.58,5.47,5.83,5.98,6,19486,21709,8436,185,3.11,7.96,11982,31,1
60,Kayn,Jungle,50.88%,9.22%,1.98%,2.85,7.09,6.04,7.29,8,16772,32070,14968,36.4,10.14,82.7,11209,1,0
61,Kha'Zix,Jungle,49.61%,3.95%,0.26%,3.67,7.9,5.63,5.59,8,16470,29258,13806,27.3,9.87,81.64,11080,14,5
62,Kindred,Jungle,50.81%,1.34%,0.05%,2.69,6.4,6.29,7.08,11,16272,26974,13662,34.3,13.48,75.76,10922,23,7
63,Kled,Top,49.12%,1.15%,0.21%,3.75,6.56,5.82,7.32,6,19444,34433,4161,154.2,2.15,2.78,11644,15,11
64,Kog'Maw,ADC,50.57%,1.09%,0.03%,2.69,8.32,6.7,6.91,8,26229,20723,3394,173.7,2.41,9.13,12672,2,1
65,LeBlanc,Middle,48.03%,2.84%,0.91%,3.15,7.79,5.29,6.6,6,19953,21089,4327,139.1,1.43,4.22,10976,22,1
66,Lee Sin,Jungle,47.71%,9.98%,1.79%,6.07,6.41,5.73,7.92,8,12993,27613,8101,26.7,8.48,72.81,10513,13,1
67,Leona,Support,51.63%,6.48%,2.33%,3.98,2.11,5.99,12.49,4,7198,18663,2081,32.2,0.06,0.08,7680,7,5
68,Lissandra,Middle,50.57%,1.36%,0.06%,2.54,5.79,6.16,9.23,6,20185,20866,3027,165.2,1.29,4.18,11135,26,7
69,Lucian,ADC,47.82%,6.40%,0.31%,4.7,7.54,5.96,7.03,8,19909,19721,2902,177.3,2.58,7.99,12373,13,1
70,Lulu,Support,51.27%,7.10%,0.86%,4.35,1.53,4.88,13.61,3,5659,12504,1962,19.8,0.08,0.13,7492,8,13
71,Lux,Middle,52.77%,3.37%,0.28%,4.15,6.5,5.25,9.39,7,21952,14452,1168,152.8,0.95,3.08,11059,8,8
72,Lux,Support,50.61%,5.21%,0.28%,5.06,3.83,5.76,10.61,6,15479,12228,1093,39.5,0.39,0.72,8549,10,17
73,Malphite,Support,49.71%,1.59%,0.48%,4.4,3.6,5.66,8.44,6,12570,15459,1242,51.3,0.63,1.07,7983,28,3
74,Malphite,Top,52.50%,2.74%,0.48%,3.18,4.99,5.06,8.19,5,18620,20429,2297,146.7,1.26,2.47,10537,19,3
