Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
18,Braum,Support,49.34%,2.48%,0.10%,2.99,1.61,5.42,13.46,3,7093,19265,2453,30.1,0.06,0.1,7516,33,0
19,Caitlyn,ADC,50.32%,9.80%,1.66%,3.55,6.4,5.78,7.21,8,19823,17208,3196,171.8,1.83,6.42,11903,8,0
20,Camille,Top,47.92%,1.36%,0.06%,2.27,6.35,6.38,5.56,7,18316,26244,3898,152.4,2.65,4.05,11327,38,0
21,Cassiopeia,Middle,51.48%,1.82%,0.50%,2.28,6.84,6.12,6.24,9,20910,23548,7543,170.8,2.53,8.79,11684,24,0
22,Cho'Gath,Top,50.25%,1.20%,0.10%,2.42,6.05,5.6,5.95,6,18057,32219,7582,151.8,1.44,3,10885,26,0
23,Corki,Middle,47.18%,0.97%,0.04%,2.3,7.57,5.92,6.73,6,24295,21022,3099,180.4,3.03,9.8,12542,13,0
24,Darius,Top,48.36%,4.72%,5.34%,2.68,6.62,6.02,4.68,7,17699,29533,6037,165.9,1.89,2.59,11528,3,0
25,Diana,Jungle,45.82%,0.71%,1.85%,3.62,6.67,6.73,6.76,8,17521,24586,7890,51,7.59,77.3,11190,31,0
26,Diana,Middle,52.24%,3.95%,1.85%,3.36,7.57,6.37,6.49,8,21268,22289,4309,152.5,3.28,7.44,11691,5,0
27,Dr. Mundo,Jungle,53.23%,0.78%,0.19%,2.89,5.5,5.1,7.39,6,16817,37207,16318,51.4,10.28,76.63,11190,6,0
28,Dr. Mundo,Top,51.80%,1.40%,0.19%,2.24,4.92,5.25,6.72,7,20809,34389,8441,160.3,2.09,2.56,11017,11,0
29,Draven,ADC,49.73%,2.38%,0.84%,3.38,7.3,6.57,6.71,9,20403,19193,2103,166.8,2.53,6.9,12644,14,0
30,Ekko,Jungle,51.74%,5.73%,1.89%,5.31,7.08,5.51,7.11,8,16830,30435,13735,41,6.89,75.67,10909,2,0
31,Ekko,Middle,50.39%,3.16%,1.89%,3.56,7.67,5.78,6.32,8,20363,26745,7850,151.3,1.72,4.11,11498,10,0
32,Elise,Jungle,49.17%,3.10%,0.86%,2.51,6.15,5.67,7.24,6,14317,22086,7664,27.6,7.27,70.32,10196,35,0
33,Evelynn,Jungle,48.06%,3.26%,0.59%,2.74,7.89,5.6,6.38,7,17385,23357,8442,19.5,8.77,79.68,10699,19,0
34,Ezreal,ADC,49.31%,13.06%,0.75%,3.43,6.79,5.3,7.24,9,22857,18091,2474,169.7,1.78,6.1,11755,4,0
35,Fiddlesticks,Jungle,51.95%,3.48%,0.49%,2.87,5.69,5.57,8.59,9,16464,28004,14627,32.5,6.76,85.68,10538,9,0
36,Fiora,Top,50.21%,3.82%,1.04%,2.63,6.29,6.12,4.52,8,19061,28713,8529,172.1,3.48,4.41,11933,10,0
37,Fizz,Middle,49.87%,3.75%,2.07%,2.95,8.99,5.93,5.99,11,19670,22273,3723,143.1,1.17,3.19,11644,4,0
38,Galio,Middle,51.32%,2.07%,0.26%,2.96,5.22,5.53,9.85,6,18423,22646,2079,146.2,1.01,2.72,10448,31,0
39,Galio,Support,51.55%,1.14%,0.26%,3.08,2.87,5.25,9.83,4,10716,17545,1458,53.1,0.29,0.51,7609,27,0
40,Gangplank,Top,46.19%,1.45%,0.08%,3.21,4.96,5.42,7.14,6,20749,24423,6697,186.6,1.6,3.81,12366,20,0
41,Garen,Top,51.18%,5.94%,1.44%,2.64,6.46,4.84,4.56,8,18220,27876,3287,166.9,3.12,3.41,11781,1,0
42,Gnar,Top,49.65%,1.45%,0.09%,2.3,5.21,5.7,6.76,7,20024,27557,3815,156.5,1.67,2.49,11156,29,0
43,Gragas,Jungle,45.16%,1.32%,0.02%,2.39,4.59,5.79,8.36,5,13713,27723,11667,27.3,6.01,76.35,9734,42,0
44,Graves,Jungle,51.22%,7.11%,1.52%,2.73,5.91,5.13,7.08,8,16050,22764,8250,49.6,11.56,83.98,11289,4,0
45,Hecarim,Jungle,50.28%,2.10%,0.09%,2.59,6.56,5.37,8.09,6,14532,33130,13239,37.4,8.32,81.83,11056,11,0
46,Heimerdinger,Middle,49.21%,0.54%,0.10%,3.86,5.26,6.36,6.84,6,24677,17908,2181,157.8,1.24,2.8,10936,38,0
47,Illaoi,Top,52.68%,2.02%,1.03%,3,5.55,6.08,4.84,8,23767,31022,9333,184.7,1.32,1.41,11686,4,0
48,Irelia,Middle,46.66%,1.86%,0.77%,6.68,8.05,6.85,5.27,8,19047,28125,7038,190.6,2.53,4.48,12567,26,0
49,Irelia,Top,44.56%,2.77%,0.77%,2.61,6.92,6.86,4.85,9,18681,28537,6844,196.4,2.49,3.36,12406,21,0
