SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SUMMER,S10,Sona Sona,11,7,1%,2.7,8,3,73%,3.6,35:10:00,2.5,245,-59.3
SUMMER,S10,Talon Talon,2,16,1%,2,1,1,50%,2.8,27:25:00,7.3,325,-5
SUMMER,S10,Neeko Neeko,14,2,1%,9,7,7,50%,3.4,32:32:00,7.6,441,-5
SUMMER,S10,Zac Zac,9,6,1%,1.8,6,3,67%,5.5,29:39:00,5.6,288,-10.3
SUMMER,S10,Pyke Pyke,11,4,1%,4.8,4,7,36%,1.5,32:20:00,1.4,139,0.5
SUMMER,S10,Caitlyn Caitlyn,10,4,1%,2.5,5,5,50%,4.7,32:51:00,8.8,714,23.2
SUMMER,S10,Twitch Twitch,6,7,1%,5.3,5,1,83%,4.2,36:53:00,9.1,569,4.7
SUMMER,S10,Xerath Xerath,6,7,1%,4.7,2,4,33%,5.4,31:57:00,9,761,8
SUMMER,S10,Yorick Yorick,4,8,1%,5.9,0,4,0%,0.8,28:42:00,8.3,310,-1.8
SUMMER,S10,Aurelion Sol Aurelion Sol,7,4,1%,9,1,6,14%,1.9,33:58:00,7.3,427,-5.5
SUMMER,S10,Zed Zed,6,4,1%,7,1,5,17%,1.6,30:56:00,7.9,399,-5
SUMMER,S10,Ahri Ahri,5,4,1%,6.8,3,2,60%,5,34:53:00,8.4,536,-5.4
SUMMER,S10,Katarina Katarina,2,7,1%,4.1,0,2,0%,2,38:05:00,6.1,254,-30.5
SUMMER,S10,Malzahar Malzahar,4,5,1%,7.8,2,2,50%,2.1,31:12:00,8,422,-7.8
SUMMER,S10,Janna Janna,7,1,1%,7,5,2,71%,13.2,30:03:00,1.8,196,-8.9
SUMMER,S10,Zyra Zyra,5,3,1%,5.3,0,5,0%,1.5,36:11:00,0.9,374,-14
SUMMER,S10,Nunu Nunu,5,2,0%,4,2,3,40%,2.6,33:38:00,6.3,283,-10.2
SUMMER,S10,Jinx Jinx,6,0,0%,-,1,5,17%,4.3,31:56:00,10.4,392,0.3
SUMMER,S10,Ivern Ivern,4,1,0%,8,1,3,25%,3.2,34:12:00,4,140,-15.8
SUMMER,S10,Veigar Veigar,5,0,0%,-,0,5,0%,1.5,28:23:00,8.1,405,1.4
SUMMER,S10,Dr. Mundo Dr. Mundo,5,0,0%,-,4,1,80%,4.8,36:19:00,8.1,434,21.6
SUMMER,S10,Shaco Shaco,1,3,0%,1.3,0,1,0%,0.7,26:41:00,4.9,237,-10
SUMMER,S10,Fizz Fizz,0,3,0%,8.7,,,,,0:00,,,
SUMMER,S10,Nasus Nasus,3,0,0%,-,2,1,67%,2.6,29:19:00,8.2,482,-1.3
SUMMER,S10,Vi Vi,2,0,0%,-,2,0,100%,7.3,31:11:00,5.1,257,-10
SUMMER,S10,Amumu Amumu,0,2,0%,4.5,,,,,0:00,,,
SUMMER,S10,Xin Zhao Xin Zhao,2,0,0%,-,1,1,50%,1.8,28:11:00,5.8,243,-0.5
SUMMER,S10,Annie Annie,0,2,0%,5,,,,,0:00,,,
SUMMER,S10,Nami Nami,2,0,0%,-,1,1,50%,8.3,32:46:00,0.9,120,-4
SUMMER,S10,Swain Swain,2,0,0%,-,0,2,0%,1.2,32:40:00,7.6,297,10
SUMMER,S10,Teemo Teemo,0,1,0%,1,,,,,0:00,,,
SUMMER,S10,Garen Garen,0,1,0%,8,,,,,0:00,,,
