Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,Hana,SUPPORT,2,0%,0,0,5,0,2,203,0.00%,4.5,74,2.18,1.56,0.21,0.35,-674,-6,-336,0%,50%,0,-
Spring,S8,Hana,JUNGLE,15,53.30%,2.5,1.1,2.9,6.1,4.3,293,66.00%,8,155,3.22,1.61,0.69,0.33,49,-4,-180,40%,20%,0,1
Spring,S8,Hana,ADC,5,0%,1.6,2.2,3.4,3.4,10.4,415,84.10%,32.9,696,1.32,0.53,0.44,0.14,-412,-4,10,20%,20%,0,1
Spring,S8,Hanabi,TOP,45,77.80%,4.4,1.9,1.6,4.9,8.6,404,56.90%,21.6,412,1.26,0.71,0.19,0.22,-35,-6,-107,13.30%,6.70%,0,2
Spring,S8,Hans sama,ADC,18,44.40%,5.3,3.2,1.6,5,10.4,432,70.20%,33.3,632,1.42,0.47,0.53,0.21,303,8,85,44.40%,11.10%,0,2
Spring,S8,Hard,JUNGLE,23,65.20%,3.6,1.6,2.6,7.7,5,328,66.00%,10.4,205,2.3,1.16,0.45,0.35,-29,3,-80,43.50%,13%,0,-
Spring,S8,Haretti,ADC,24,29.20%,3.9,2.8,1.6,3.4,9.9,402,67.90%,29.7,473,1.28,0.5,0.32,0.14,-150,-2,23,12.50%,0%,0,-
Spring,S8,Haro,JUNGLE,50,62%,3.9,1.4,2,6.2,4.7,317,68.30%,9,165,-,1.33,0.46,0.4,-,-,-,-,-,0,-
Spring,S8,Haru,JUNGLE,17,47.10%,2,1.5,2.3,3.1,6,331,69.70%,10.5,187,2.65,1.32,0.55,0.26,-17,5,163,23.50%,0%,0,2
Spring,S8,Hatrixx,MID,8,50%,4.2,4.8,2.3,4.8,9.9,442,66.80%,37.2,634,1.04,0.41,0.15,0.14,904,7,718,12.50%,12.50%,0,1
Spring,S8,Hauntzer,TOP,24,58.30%,3,2.2,2.2,4.2,9.5,422,59.40%,25.9,509,1.18,0.64,0.19,0.13,204,2,-16,16.70%,16.70%,0,3
Spring,S8,Hayha,SUPPORT,11,9.10%,1.3,0.7,3.5,3.7,1.9,234,70.40%,5.5,87,2.04,1.23,0.35,0.41,-224,2,-373,9.10%,18.20%,0,-
Spring,S8,Hazard,TOP,21,14.30%,2.5,1.2,1.8,3.2,8.3,355,56.60%,22.4,346,1.02,0.6,0.16,0.15,-116,-1,15,23.80%,4.80%,0,1
Spring,S8,HeaQ,ADC,21,38.10%,3.3,2,1.8,3.9,10.2,417,64.20%,32.5,589,1.41,0.58,0.34,0.2,26,-1,-248,9.50%,0%,0,-
Spring,S8,Heaven,JUNGLE,22,40.90%,2.2,1.5,3,5.1,4.7,317,69.50%,10.8,190,3,1.52,0.48,0.3,-156,-6,-460,40.90%,9.10%,0,1
Spring,S8,Helior,TOP,24,29.20%,1.8,1.8,2.5,2.7,8,356,52.10%,23.3,392,0.91,0.48,0.16,0.09,-141,-2,66,4.20%,20.80%,0,3
Spring,S8,Hero,JUNGLE,32,50%,2.9,1.2,2.8,6.8,4.4,298,71.30%,10,178,2.31,1.16,0.43,0.32,-395,-4,-273,12.50%,9.40%,0,-
Spring,S8,Hiro,ADC,15,60%,4.1,2.9,1.8,4.5,9,421,52.30%,24.5,487,0.95,0.5,0.2,0.18,243,-3,133,0%,0%,0,-
Spring,S8,Hjarnan,ADC,26,57.70%,5,3.4,1.7,5.3,10.5,446,77.10%,30.9,644,1.24,0.38,0.42,0.08,57,-2,48,11.50%,3.80%,0,1
Spring,S8,Hoglet,JUNGLE,2,50%,2.4,0.5,2.5,5.5,4.1,256,89.30%,9.5,142,1.71,0.51,0.7,0.38,-588,-12,-952,50%,0%,0,-
Spring,S8,Holo,MID,2,0%,4,2.5,2,5.5,8.4,379,62.20%,33.5,698,1.07,0.56,0.16,0.08,-176,-12,-338,0%,0%,0,-
Spring,S8,Holyphoenix,ADC,34,70.60%,7.6,4,1.1,4.3,9.9,454,67.80%,30.1,544,0.86,0.31,0.24,0.05,462,6,11,38.20%,2.90%,1,4
Spring,S8,Holyphoenix,JUNGLE,1,100%,2.5,6,4,4,5.8,429,47.60%,22.1,471,1.07,0.28,0.36,0,504,-40,-1257,0%,0%,0,-
Spring,S8,Homi,SUPPORT,32,50%,3.4,0.5,2.4,7.6,1.6,243,68.00%,8.8,158,2.46,1.59,0.37,0.47,-134,1,130,9.40%,3.10%,0,-
Spring,S8,Hope,ADC,1,0%,0.2,1,5,0,10,378,33.30%,37.7,648,-,0.39,0.45,0.11,-,-,-,-,-,0,-
Spring,S8,Hopezz,ADC,2,100%,4.5,0,1,4.5,10.9,426,51.10%,23.8,383,-,0.38,0.54,0.11,-,-,-,-,-,0,-
Spring,S8,Hudie,SUPPORT,49,53.10%,3.1,0.6,2.3,6.6,2.1,262,67.80%,6.8,125,-,1.55,0.3,0.45,-,-,-,-,-,0,-
